date,city,timezone,electricity_demand_mw
2019-12-31,Boston,Arizona,65281
2019-12-31,Boston,Central,65269
2019-12-31,Boston,Eastern,65285
2019-12-31,Boston,Mountain,65281
2019-12-31,Boston,Pacific,65276
2019-12-31,Chicago,Arizona,258953
2019-12-31,Chicago,Central,259129
2019-12-31,Chicago,Eastern,259413
2019-12-31,Chicago,Mountain,258953
2019-12-31,Chicago,Pacific,258783
2019-12-30,Boston,Arizona,67868
2019-12-30,Boston,Central,67768
2019-12-30,Boston,Eastern,67639
2019-12-30,Boston,Mountain,67868
2019-12-30,Boston,Pacific,67942
2019-12-30,Chicago,Arizona,257508
2019-12-30,Chicago,Central,256131
2019-12-30,Chicago,Eastern,254634
2019-12-30,Chicago,Mountain,257508
2019-12-30,Chicago,Pacific,258869
2019-12-29,Boston,Arizona,59390
2019-12-29,Boston,Central,59430
2019-12-29,Boston,Eastern,59472
2019-12-29,Boston,Mountain,59390
2019-12-29,Boston,Pacific,59368
2019-12-29,Chicago,Arizona,214714
2019-12-29,Chicago,Central,215040
2019-12-29,Chicago,Eastern,215491
2019-12-29,Chicago,Mountain,214714
2019-12-29,Chicago,Pacific,214524
2019-12-28,Boston,Arizona,58472
2019-12-28,Boston,Central,58390
2019-12-28,Boston,Eastern,58323
2019-12-28,Boston,Mountain,58472
2019-12-28,Boston,Pacific,58559
2019-12-28,Chicago,Arizona,236496
2019-12-28,Chicago,Central,237040
2019-12-28,Chicago,Eastern,237637
2019-12-28,Chicago,Mountain,236496
2019-12-28,Chicago,Pacific,235848
2019-12-27,Boston,Arizona,64319
2019-12-27,Boston,Central,64457
2019-12-27,Boston,Eastern,64591
2019-12-27,Boston,Mountain,64319
2019-12-27,Boston,Pacific,64184
2019-12-27,Chicago,Arizona,247223
2019-12-27,Chicago,Central,246494
2019-12-27,Chicago,Eastern,245643
2019-12-27,Chicago,Mountain,247223
2019-12-27,Chicago,Pacific,247906
2019-12-26,Boston,Arizona,65588
2019-12-26,Boston,Central,65562
2019-12-26,Boston,Eastern,65516
2019-12-26,Boston,Mountain,65588
2019-12-26,Boston,Pacific,65599
2019-12-26,Chicago,Arizona,226496
