period,respondent,respondent-name,fueltype,type-name,value,value-units
2019-12-31T23,ISNE,ISO New England,COL,Coal,4,megawatthours
2019-12-31T23,ISNE,ISO New England,NG,Natural Gas,7062,megawatthours
2019-12-31T23,ISNE,ISO New England,NUC,Nuclear,3329,megawatthours
2019-12-31T23,ISNE,ISO New England,OIL,Petroleum,0,megawatthours
2019-12-31T23,ISNE,ISO New England,OTH,Other,670,megawatthours
2019-12-31T23,ISNE,ISO New England,SUN,Solar,0,megawatthours
2019-12-31T23,ISNE,ISO New England,WAT,Hydro,1371,megawatthours
2019-12-31T23,ISNE,ISO New England,WND,Wind,367,megawatthours
2019-12-31T23,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,20752,megawatthours
2019-12-31T23,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,21836,megawatthours
2019-12-31T23,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13344,megawatthours
2019-12-31T23,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,463,megawatthours
2019-12-31T23,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,24,megawatthours
2019-12-31T23,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,2437,megawatthours
2019-12-31T23,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,8682,megawatthours
2019-12-31T22,ISNE,ISO New England,COL,Coal,1,megawatthours
2019-12-31T22,ISNE,ISO New England,NG,Natural Gas,6787,megawatthours
2019-12-31T22,ISNE,ISO New England,NUC,Nuclear,3348,megawatthours
2019-12-31T22,ISNE,ISO New England,OIL,Petroleum,0,megawatthours
2019-12-31T22,ISNE,ISO New England,OTH,Other,677,megawatthours
2019-12-31T22,ISNE,ISO New England,SUN,Solar,0,megawatthours
2019-12-31T22,ISNE,ISO New England,WAT,Hydro,1102,megawatthours
2019-12-31T22,ISNE,ISO New England,WND,Wind,397,megawatthours
2019-12-31T22,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,20101,megawatthours
2019-12-31T22,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,21216,megawatthours
2019-12-31T22,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13346,megawatthours
2019-12-31T22,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,459,megawatthours
2019-12-31T22,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,110,megawatthours
2019-12-31T22,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,1072,megawatthours
2019-12-31T22,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,9490,megawatthours
2019-12-31T21,ISNE,ISO New England,COL,Coal,2,megawatthours
2019-12-31T21,ISNE,ISO New England,NG,Natural Gas,6508,megawatthours
2019-12-31T21,ISNE,ISO New England,NUC,Nuclear,3342,megawatthours
2019-12-31T21,ISNE,ISO New England,OIL,Petroleum,0,megawatthours
2019-12-31T21,ISNE,ISO New England,OTH,Other,688,megawatthours
2019-12-31T21,ISNE,ISO New England,SUN,Solar,3,megawatthours
2019-12-31T21,ISNE,ISO New England,WAT,Hydro,923,megawatthours
2019-12-31T21,ISNE,ISO New England,WND,Wind,411,megawatthours
2019-12-31T21,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,20043,megawatthours
2019-12-31T21,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,21097,megawatthours
2019-12-31T21,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13345,megawatthours
2019-12-31T21,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,464,megawatthours
2019-12-31T21,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,173,megawatthours
2019-12-31T21,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,952,megawatthours
2019-12-31T21,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,9930,megawatthours
2019-12-31T20,ISNE,ISO New England,COL,Coal,3,megawatthours
2019-12-31T20,ISNE,ISO New England,NG,Natural Gas,6341,megawatthours
2019-12-31T20,ISNE,ISO New England,NUC,Nuclear,3336,megawatthours
2019-12-31T20,ISNE,ISO New England,OIL,Petroleum,0,megawatthours
2019-12-31T20,ISNE,ISO New England,OTH,Other,682,megawatthours
2019-12-31T20,ISNE,ISO New England,SUN,Solar,5,megawatthours
2019-12-31T20,ISNE,ISO New England,WAT,Hydro,899,megawatthours
2019-12-31T20,ISNE,ISO New England,WND,Wind,434,megawatthours
2019-12-31T20,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,20293,megawatthours
2019-12-31T20,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,21644,megawatthours
2019-12-31T20,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13346,megawatthours
2019-12-31T20,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,482,megawatthours
