date,respondent,class,total_renewable,total_mwh,pct_of_total
2019-12-31,ISNE,green,32312,248508,13.002398313132776
2019-12-31,ISNE,traditional,216196,248508,86.99760168686723
2019-12-31,PJM,green,101241,1860371,5.441979046114995
2019-12-31,PJM,traditional,1759130,1860371,94.558020953885
2020-01-02,ISNE,green,34072,254387,13.393766190882396
2020-01-02,ISNE,traditional,220315,254387,86.60623380911761
2020-01-02,PJM,green,75342,1728991,4.357570397995132
2020-01-02,PJM,traditional,1653649,1728991,95.64242960200487
2020-01-03,ISNE,green,28486,257212,11.074910968384057
2020-01-03,ISNE,traditional,228726,257212,88.92508903161594
2020-01-03,PJM,green,53801,1709136,3.1478478014622593
2020-01-03,PJM,traditional,1655335,1709136,96.85215219853774
2020-01-06,ISNE,green,31882,279887,11.391025663928657
2020-01-06,ISNE,traditional,248005,279887,88.60897433607134
2020-01-06,PJM,green,63363,1775437,3.56886783366574
2020-01-06,PJM,traditional,1712074,1775437,96.43113216633427
2020-01-07,ISNE,green,30850,269622,11.441944648433733
2020-01-07,ISNE,traditional,238772,269622,88.55805535156627
2020-01-07,PJM,green,60292,1818757,3.3150112961764546
2020-01-07,PJM,traditional,1758465,1818757,96.68498870382355
2020-01-08,ISNE,green,34527,268827,12.843575980091284
2020-01-08,ISNE,traditional,234300,268827,87.15642401990871
2020-01-08,PJM,green,81424,1816706,4.481958005312912
2020-01-08,PJM,traditional,1735282,1816706,95.51804199468708
2020-01-09,ISNE,green,43809,290853,15.06224793968087
2020-01-09,ISNE,traditional,247044,290853,84.93775206031913
2020-01-09,PJM,green,77302,1820039,4.247271624399258
2020-01-09,PJM,traditional,1742737,1820039,95.75272837560074
2020-01-10,ISNE,green,38196,279212,13.679927796799566
2020-01-10,ISNE,traditional,241016,279212,86.32007220320044
2020-01-10,PJM,green,66894,1702565,3.9290129892250807
2020-01-10,PJM,traditional,1635671,1702565,96.07098701077493
2020-01-13,ISNE,green,32969,272176,12.113117982481922
2020-01-13,ISNE,traditional,239207,272176,87.88688201751808
