Date,chicago,boston
2025-12-31,3.35,NA
2025-12-30,3.73,NA
2025-12-29,3.88,NA
2025-12-24,3.08,NA
2025-12-23,2.77,NA
2025-12-22,2.96,9.71
2025-12-19,3.18,NA
2025-12-18,3.51,5.75
2025-12-17,3.35,4.5
2025-12-16,3.23,NA
2025-12-15,3.35,17.5
2025-12-12,4.13,20
2025-12-11,4.07,21
2025-12-10,4.33,25
2025-12-09,4.3,NA
2025-12-08,4.41,20.59
2025-12-05,4.77,NA
2025-12-04,4.46,NA
2025-12-03,4.75,21.5
2025-12-02,4.45,25.59
2025-12-01,4.41,14.01
2025-11-26,4.29,7.97
2025-11-25,3.91,7.15
2025-11-24,3.76,NA
2025-11-21,3.8,NA
2025-11-20,3.77,NA
2025-11-19,3.67,NA
2025-11-18,3.47,NA
2025-11-17,3.51,NA
2025-11-14,3.16,NA
2025-11-13,3.21,3.9
2025-11-12,3.39,NA
2025-11-10,3.33,NA
2025-11-07,3.35,NA
2025-11-06,3.17,NA
2025-11-05,3.22,NA
2025-11-04,3.12,NA
2025-11-03,3.02,NA
2025-10-31,3,NA
2025-10-30,3.27,NA
2025-10-29,3.11,NA
2025-10-28,3.19,NA
2025-10-27,3.19,NA
2025-10-24,3.06,NA
2025-10-23,3.09,NA
2025-10-22,3.24,NA
2025-10-21,3.13,2.85
2025-10-20,2.9,2.5
2025-10-17,2.21,2.02
2025-10-16,2.41,2.18
2025-10-15,2.54,2.28
2025-10-14,2.66,NA
2025-10-10,2.62,NA
2025-10-09,2.86,NA
2025-10-08,2.99,NA
2025-10-07,2.96,NA
2025-10-06,2.93,NA
2025-10-03,2.76,NA
2025-10-02,2.97,1.73
2025-10-01,2.98,NA
2025-09-30,2.92,NA
2025-09-29,2.81,NA
2025-09-26,2.72,NA
2025-09-25,2.81,NA
2025-09-24,2.85,NA
2025-09-23,2.81,NA
2025-09-22,2.81,NA
2025-09-19,2.75,1.65
2025-09-18,2.87,NA
2025-09-17,3.04,NA
2025-09-16,2.94,NA
2025-09-15,2.81,NA
2025-09-12,2.72,1.9
2025-09-11,2.68,NA
2025-09-10,2.74,NA
2025-09-09,2.76,NA
2025-09-08,2.77,NA
2025-09-05,2.72,2.05
2025-09-04,2.74,NA
2025-09-03,2.81,NA
2025-09-02,2.67,NA
2025-08-29,2.59,NA
2025-08-28,2.45,NA
2025-08-27,2.54,NA
2025-08-26,2.42,NA
2025-08-25,2.44,NA
2025-08-22,2.5,NA
2025-08-21,2.56,NA
2025-08-20,2.56,NA
2025-08-19,2.66,NA
2025-08-18,2.72,NA
2025-08-15,2.79,NA
2025-08-14,2.66,3.05
2025-08-13,2.71,4
2025-08-12,2.72,NA
2025-08-11,2.79,8.5
2025-08-08,2.77,3.65
2025-08-07,2.76,3.1
2025-08-06,2.77,3.08
2025-08-05,2.69,3
2025-08-04,2.61,NA
2025-08-01,2.62,2.41
2025-07-31,2.599,NA
2025-07-30,2.7,2.8
2025-07-29,2.86,NA
2025-07-28,2.91,NA
2025-07-25,2.84,NA
2025-07-24,2.83,4.8
2025-07-23,2.83,NA
2025-07-22,2.89,NA
2025-07-21,3.04,NA
2025-07-18,3.2,NA
2025-07-17,3.26,NA
2025-07-16,3.29,NA
2025-07-15,3.14,NA
2025-07-14,3.12,7.44
2025-07-11,2.97,3.75
2025-07-10,2.88,NA
2025-07-09,2.88,3.1
2025-07-08,2.99,NA
2025-07-07,3.03,NA
2025-07-03,2.96,NA
2025-07-02,2.86,NA
2025-07-01,2.84,NA
2025-06-30,2.92,NA
2025-06-27,2.9,NA
2025-06-26,2.81,NA
2025-06-25,2.89,NA
2025-06-24,3.02,NA
2025-06-23,3.15,7.25
2025-06-20,3.07,NA
2025-06-18,3.22,NA
2025-06-17,2.82,NA
2025-06-16,2.6,NA
2025-06-13,2.38,NA
2025-06-12,2.65,NA
2025-06-11,2.58,NA
2025-06-10,2.56,NA
2025-06-09,2.58,NA
2025-06-06,2.44,NA
2025-06-05,2.69,NA
2025-06-04,2.77,NA
2025-06-03,2.48,NA
2025-06-02,2.48,NA
2025-05-30,2.4,NA
2025-05-29,2.75,NA
2025-05-28,2.92,2.9
2025-05-27,2.8,NA
2025-05-23,2.7,NA
2025-05-22,2.81,NA
2025-05-21,2.88,NA
2025-05-20,2.9,NA
2025-05-19,2.71,NA
2025-05-16,2.87,2.1
2025-05-15,2.85,3
2025-05-14,2.93,NA
2025-05-13,2.88,NA
2025-05-12,2.81,NA
2025-05-09,2.85,NA
2025-05-08,2.93,NA
2025-05-07,3.02,NA
2025-05-06,2.97,NA
2025-05-05,3.02,NA
2025-05-02,2.89,NA
2025-05-01,2.88,NA
2025-04-30,2.83,NA
2025-04-29,2.87,NA
2025-04-28,2.56,NA
2025-04-25,2.32,NA
2025-04-24,2.31,NA
2025-04-23,2.46,NA
2025-04-22,2.57,NA
2025-04-21,2.63,2.48
2025-04-17,2.65,NA
2025-04-16,2.81,NA
2025-04-15,3.01,NA
2025-04-14,3.25,NA
2025-04-11,3.16,NA
2025-04-10,3.21,NA
2025-04-09,3.18,NA
2025-04-08,3.48,NA
2025-04-07,3.54,NA
2025-04-04,3.66,NA
2025-04-03,3.71,NA
2025-04-02,3.67,NA
2025-04-01,3.48,NA
2025-03-31,3.76,NA
2025-03-28,2.93,2.9
2025-03-27,3,NA
2025-03-26,3.27,NA
2025-03-25,3.45,3.85
2025-03-24,3.55,NA
2025-03-21,3.43,NA
2025-03-20,3.37,NA
2025-03-19,3.66,3.65
2025-03-18,3.33,NA
2025-03-17,3.32,NA
2025-03-14,3.25,NA
2025-03-13,3.294,NA
2025-03-12,3.46,NA
2025-03-11,3.86,3.97
2025-03-10,3.84,NA
2025-03-07,3.82,4.7
2025-03-06,4.02,NA
2025-03-05,4.14,NA
2025-03-04,4.04,4.25
2025-03-03,3.49,NA
2025-02-28,3.6,NA
2025-02-27,3.52,4.25
2025-02-26,3.65,NA
2025-02-25,3.64,NA
2025-02-24,3.56,4.35
2025-02-21,4.07,NA
2025-02-20,5.55,16
2025-02-19,7.52,18.5
2025-02-18,7.24,NA
2025-02-14,5.54,NA
2025-02-13,3.94,NA
2025-02-12,3.9,NA
2025-02-11,3.64,NA
2025-02-10,3.48,NA
2025-02-07,3.33,NA
2025-02-06,3.18,NA
2025-02-05,3.12,NA
2025-02-04,3.1,NA
2025-02-03,3.14,NA
2025-01-31,2.73,NA
2025-01-30,2.9,NA
2025-01-29,2.99,NA
2025-01-28,3.1,NA
2025-01-27,3.27,NA
2025-01-24,3.58,NA
2025-01-23,3.76,NA
2025-01-22,3.81,NA
2025-01-21,4.27,NA
2025-01-17,10.26,40
2025-01-16,3.98,NA
2025-01-15,4.18,NA
