Date,chicago,Date,boston
2025-12-31,3.35,2025-12-22,9.71
2025-12-30,3.73,2025-12-18,5.75
2025-12-29,3.88,2025-12-17,4.5
2025-12-24,3.08,2025-12-15,17.5
2025-12-23,2.77,2025-12-12,20
2025-12-22,2.96,2025-12-11,21
2025-12-19,3.18,2025-12-10,25
2025-12-18,3.51,2025-12-08,20.59
2025-12-17,3.35,2025-12-03,21.5
2025-12-16,3.23,2025-12-02,25.59
2025-12-15,3.35,2025-12-01,14.01
2025-12-12,4.13,2025-11-26,7.97
2025-12-11,4.07,2025-11-25,7.15
2025-12-10,4.33,2025-11-13,3.9
2025-12-09,4.3,2025-10-21,2.85
2025-12-08,4.41,2025-10-20,2.5
2025-12-05,4.77,2025-10-17,2.02
2025-12-04,4.46,2025-10-16,2.18
2025-12-03,4.75,2025-10-15,2.28
2025-12-02,4.45,2025-10-02,1.73
2025-12-01,4.41,2025-09-19,1.65
2025-11-26,4.29,2025-09-12,1.9
2025-11-25,3.91,2025-09-05,2.05
2025-11-24,3.76,2025-08-14,3.05
2025-11-21,3.8,2025-08-13,4
2025-11-20,3.77,2025-08-11,8.5
2025-11-19,3.67,2025-08-08,3.65
2025-11-18,3.47,2025-08-07,3.1
2025-11-17,3.51,2025-08-06,3.08
2025-11-14,3.16,2025-08-05,3
2025-11-13,3.21,2025-08-01,2.41
2025-11-12,3.39,2025-07-30,2.8
2025-11-10,3.33,2025-07-24,4.8
2025-11-07,3.35,2025-07-14,7.44
2025-11-06,3.17,2025-07-11,3.75
2025-11-05,3.22,2025-07-09,3.1
2025-11-04,3.12,2025-06-23,7.25
2025-11-03,3.02,2025-05-28,2.9
2025-10-31,3,2025-05-16,2.1
2025-10-30,3.27,2025-05-15,3
2025-10-29,3.11,2025-04-21,2.48
2025-10-28,3.19,2025-03-28,2.9
2025-10-27,3.19,2025-03-25,3.85
2025-10-24,3.06,2025-03-19,3.65
2025-10-23,3.09,2025-03-11,3.97
2025-10-22,3.24,2025-03-07,4.7
2025-10-21,3.13,2025-03-04,4.25
2025-10-20,2.9,2025-02-27,4.25
2025-10-17,2.21,2025-02-24,4.35
2025-10-16,2.41,2025-02-20,16
2025-10-15,2.54,2025-02-19,18.5
2025-10-14,2.66,2025-01-17,40
2025-10-10,2.62,2024-12-19,10.85
2025-10-09,2.86,2024-12-17,3.3
2025-10-08,2.99,2024-12-13,7.15
2025-10-07,2.96,2024-12-06,6.85
2025-10-06,2.93,2024-12-05,14
2025-10-03,2.76,2024-11-27,10
2025-10-02,2.97,2024-11-25,3.5
2025-10-01,2.98,2024-11-22,2.85
2025-09-30,2.92,2024-11-13,2.7
2025-09-29,2.81,2024-11-12,2.78
2025-09-26,2.72,2024-10-23,2
2025-09-25,2.81,2024-10-17,1.95
2025-09-24,2.85,2024-10-16,2.11
2025-09-23,2.81,2024-10-07,1.58
2025-09-22,2.81,2024-10-04,1.58
2025-09-19,2.75,2024-10-03,1.7
2025-09-18,2.87,2024-09-13,2.21
2025-09-17,3.04,2024-09-11,2.09
2025-09-16,2.94,2024-09-06,1.9
2025-09-15,2.81,2024-08-01,1.85
2025-09-12,2.72,2024-07-24,1.83
2025-09-11,2.68,2024-07-17,2
2025-09-10,2.74,2024-07-12,2.1
2025-09-09,2.76,2024-07-10,1.94
2025-09-08,2.77,2024-07-09,2.06
2025-09-05,2.72,2024-06-28,1.6
2025-09-04,2.74,2024-06-14,2
2025-09-03,2.81,2024-06-13,1.9
2025-09-02,2.67,2024-06-12,1.9
2025-08-29,2.59,2024-06-05,1.65
2025-08-28,2.45,2024-05-31,1.33
2025-08-27,2.54,2024-05-24,1.55
2025-08-26,2.42,2024-05-21,2.1
2025-08-25,2.44,2024-05-15,1.81
2025-08-22,2.5,2024-05-13,1.65
2025-08-21,2.56,2024-04-22,1.65
2025-08-20,2.56,2024-04-17,1.55
2025-08-19,2.66,2024-04-16,1.43
2025-08-18,2.72,2024-04-15,1.35
2025-08-15,2.79,2024-04-08,1.5
2025-08-14,2.66,2024-04-05,1.6
2025-08-13,2.71,2024-04-03,2.08
2025-08-12,2.72,2024-04-02,2.1
2025-08-11,2.79,2024-03-28,1.57
2025-08-08,2.77,2024-03-27,1.45
2025-08-07,2.76,2024-03-25,1.6
2025-08-06,2.77,2024-03-20,2.1
2025-08-05,2.69,2024-03-12,1.55
2025-08-04,2.61,2024-03-11,1.55
2025-08-01,2.62,2024-03-08,1.61
2025-07-31,2.599,2024-02-27,1.49
2025-07-30,2.7,2024-02-22,2.15
2025-07-29,2.86,2024-01-31,3.35
2025-07-28,2.91,2024-01-25,2.37
2025-07-25,2.84,2024-01-24,2.55
2025-07-24,2.83,2024-01-08,3.55
2025-07-23,2.83,2023-12-15,1.75
2025-07-22,2.89,2023-12-07,2.85
2025-07-21,3.04,2023-12-05,14.35
2025-07-18,3.2,2023-12-04,6
2025-07-17,3.26,2023-11-28,10.5
2025-07-16,3.29,2023-11-21,2.78
2025-07-15,3.14,2023-11-20,3.05
2025-07-14,3.12,2023-11-17,3.7
2025-07-11,2.97,2023-11-15,2.51
2025-07-10,2.88,2023-11-08,2.04
2025-07-09,2.88,2023-11-06,1.76
2025-07-08,2.99,2023-11-03,1.6
2025-07-07,3.03,2023-10-31,4.41
2025-07-03,2.96,2023-10-30,3.23
2025-07-02,2.86,2023-10-27,1.45
2025-07-01,2.84,2023-10-26,1.28
2025-06-30,2.92,2023-10-24,1.5
2025-06-27,2.9,2023-10-23,1.8
2025-06-26,2.81,2023-10-09,1.47
2025-06-25,2.89,2023-10-05,1.26
2025-06-24,3.02,2023-10-04,1.65
2025-06-23,3.15,2023-10-02,1.55
2025-06-20,3.07,2023-09-28,1
2025-06-18,3.22,2023-09-22,1.1
2025-06-17,2.82,2023-09-20,1.25
2025-06-16,2.6,2023-09-13,1.85
2025-06-13,2.38,2023-09-06,0.2
2025-06-12,2.65,2023-08-28,1.41
2025-06-11,2.58,2023-08-23,1.35
2025-06-10,2.56,2023-08-21,1.4
2025-06-09,2.58,2023-08-11,1.55
2025-06-06,2.44,2023-08-10,1.43
2025-06-05,2.69,2023-08-09,1.55
2025-06-04,2.77,2023-08-03,1.65
2025-06-03,2.48,2023-07-27,3.78
2025-06-02,2.48,2023-07-26,6.3
2025-05-30,2.4,2023-07-25,4.8
2025-05-29,2.75,2023-07-17,2.06
2025-05-28,2.92,2023-07-14,1.8
2025-05-27,2.8,2023-07-13,1.82
2025-05-23,2.7,2023-07-11,2.25
2025-05-22,2.81,2023-07-10,2
2025-05-21,2.88,2023-06-21,1.55
2025-05-20,2.9,2023-06-15,1.68
2025-05-19,2.71,2023-06-07,1.64
2025-05-16,2.87,2023-06-06,1.8
2025-05-15,2.85,2023-06-01,2.1
2025-05-14,2.93,2023-05-01,2.43
2025-05-13,2.88,2023-04-27,1.81
2025-05-12,2.81,2023-04-26,2.3
2025-05-09,2.85,2023-04-25,2.35
2025-05-08,2.93,2023-04-21,1.9
2025-05-07,3.02,2023-04-20,1.83
2025-05-06,2.97,2023-04-19,2
2025-05-05,3.02,2023-04-18,2.21
2025-05-02,2.89,2023-04-17,2.17
2025-05-01,2.88,2023-04-14,1.57
2025-04-30,2.83,2023-04-13,1.53
2025-04-29,2.87,2023-04-12,1.75
2025-04-28,2.56,2023-04-11,1.75
2025-04-25,2.32,2023-04-10,1.75
2025-04-24,2.31,2023-03-31,2.1
2025-04-23,2.46,2023-03-29,2.55
2025-04-22,2.57,2023-03-28,2.19
2025-04-21,2.63,2023-03-27,2.25
2025-04-17,2.65,2023-03-22,2.1
