period,respondent,respondent-name,fueltype,type-name,value,value-units,date,city,electricity_demand_mw
2019-12-31T23,ISNE,ISO New England,COL,Coal,4,megawatthours,2019-12-31,Boston,4
2019-12-31T23,ISNE,ISO New England,NG,Natural Gas,7062,megawatthours,2019-12-31,Boston,7062
2019-12-31T23,ISNE,ISO New England,NUC,Nuclear,3329,megawatthours,2019-12-31,Boston,3329
2019-12-31T23,ISNE,ISO New England,OIL,Petroleum,0,megawatthours,2019-12-31,Boston,0
2019-12-31T23,ISNE,ISO New England,OTH,Other,670,megawatthours,2019-12-31,Boston,670
2019-12-31T23,ISNE,ISO New England,SUN,Solar,0,megawatthours,2019-12-31,Boston,0
2019-12-31T23,ISNE,ISO New England,WAT,Hydro,1371,megawatthours,2019-12-31,Boston,1371
2019-12-31T23,ISNE,ISO New England,WND,Wind,367,megawatthours,2019-12-31,Boston,367
2019-12-31T23,PJM,"PJM Interconnection, LLC",COL,Coal,14849,megawatthours,2019-12-31,Chicago,14849
2019-12-31T23,PJM,"PJM Interconnection, LLC",NG,Natural Gas,36112,megawatthours,2019-12-31,Chicago,36112
2019-12-31T23,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28867,megawatthours,2019-12-31,Chicago,28867
2019-12-31T23,PJM,"PJM Interconnection, LLC",OIL,Petroleum,210,megawatthours,2019-12-31,Chicago,210
2019-12-31T23,PJM,"PJM Interconnection, LLC",OTH,Other,713,megawatthours,2019-12-31,Chicago,713
2019-12-31T23,PJM,"PJM Interconnection, LLC",SUN,Solar,0,megawatthours,2019-12-31,Chicago,0
2019-12-31T23,PJM,"PJM Interconnection, LLC",WAT,Hydro,4145,megawatthours,2019-12-31,Chicago,4145
2019-12-31T23,PJM,"PJM Interconnection, LLC",WND,Wind,2241,megawatthours,2019-12-31,Chicago,2241
2019-12-31T22,ISNE,ISO New England,COL,Coal,1,megawatthours,2019-12-31,Boston,1
2019-12-31T22,ISNE,ISO New England,NG,Natural Gas,6787,megawatthours,2019-12-31,Boston,6787
2019-12-31T22,ISNE,ISO New England,NUC,Nuclear,3348,megawatthours,2019-12-31,Boston,3348
2019-12-31T22,ISNE,ISO New England,OIL,Petroleum,0,megawatthours,2019-12-31,Boston,0
2019-12-31T22,ISNE,ISO New England,OTH,Other,677,megawatthours,2019-12-31,Boston,677
2019-12-31T22,ISNE,ISO New England,SUN,Solar,0,megawatthours,2019-12-31,Boston,0
2019-12-31T22,ISNE,ISO New England,WAT,Hydro,1102,megawatthours,2019-12-31,Boston,1102
2019-12-31T22,ISNE,ISO New England,WND,Wind,397,megawatthours,2019-12-31,Boston,397
2019-12-31T22,PJM,"PJM Interconnection, LLC",COL,Coal,13445,megawatthours,2019-12-31,Chicago,13445
2019-12-31T22,PJM,"PJM Interconnection, LLC",NG,Natural Gas,35504,megawatthours,2019-12-31,Chicago,35504
2019-12-31T22,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28879,megawatthours,2019-12-31,Chicago,28879
2019-12-31T22,PJM,"PJM Interconnection, LLC",OIL,Petroleum,213,megawatthours,2019-12-31,Chicago,213
2019-12-31T22,PJM,"PJM Interconnection, LLC",OTH,Other,734,megawatthours,2019-12-31,Chicago,734
2019-12-31T22,PJM,"PJM Interconnection, LLC",SUN,Solar,0,megawatthours,2019-12-31,Chicago,0
2019-12-31T22,PJM,"PJM Interconnection, LLC",WAT,Hydro,4742,megawatthours,2019-12-31,Chicago,4742
2019-12-31T22,PJM,"PJM Interconnection, LLC",WND,Wind,2350,megawatthours,2019-12-31,Chicago,2350
2019-12-31T21,ISNE,ISO New England,COL,Coal,2,megawatthours,2019-12-31,Boston,2
2019-12-31T21,ISNE,ISO New England,NG,Natural Gas,6508,megawatthours,2019-12-31,Boston,6508
2019-12-31T21,ISNE,ISO New England,NUC,Nuclear,3342,megawatthours,2019-12-31,Boston,3342
2019-12-31T21,ISNE,ISO New England,OIL,Petroleum,0,megawatthours,2019-12-31,Boston,0
2019-12-31T21,ISNE,ISO New England,OTH,Other,688,megawatthours,2019-12-31,Boston,688
2019-12-31T21,ISNE,ISO New England,SUN,Solar,3,megawatthours,2019-12-31,Boston,3
2019-12-31T21,ISNE,ISO New England,WAT,Hydro,923,megawatthours,2019-12-31,Boston,923
2019-12-31T21,ISNE,ISO New England,WND,Wind,411,megawatthours,2019-12-31,Boston,411
2019-12-31T21,PJM,"PJM Interconnection, LLC",COL,Coal,12097,megawatthours,2019-12-31,Chicago,12097
2019-12-31T21,PJM,"PJM Interconnection, LLC",NG,Natural Gas,33836,megawatthours,2019-12-31,Chicago,33836
2019-12-31T21,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28870,megawatthours,2019-12-31,Chicago,28870
2019-12-31T21,PJM,"PJM Interconnection, LLC",OIL,Petroleum,212,megawatthours,2019-12-31,Chicago,212
2019-12-31T21,PJM,"PJM Interconnection, LLC",OTH,Other,721,megawatthours,2019-12-31,Chicago,721
2019-12-31T21,PJM,"PJM Interconnection, LLC",SUN,Solar,25,megawatthours,2019-12-31,Chicago,25
2019-12-31T21,PJM,"PJM Interconnection, LLC",WAT,Hydro,2547,megawatthours,2019-12-31,Chicago,2547
2019-12-31T21,PJM,"PJM Interconnection, LLC",WND,Wind,2497,megawatthours,2019-12-31,Chicago,2497
2019-12-31T20,ISNE,ISO New England,COL,Coal,3,megawatthours,2019-12-31,Boston,3
2019-12-31T20,ISNE,ISO New England,NG,Natural Gas,6341,megawatthours,2019-12-31,Boston,6341
2019-12-31T20,ISNE,ISO New England,NUC,Nuclear,3336,megawatthours,2019-12-31,Boston,3336
2019-12-31T20,ISNE,ISO New England,OIL,Petroleum,0,megawatthours,2019-12-31,Boston,0
2019-12-31T20,ISNE,ISO New England,OTH,Other,682,megawatthours,2019-12-31,Boston,682
2019-12-31T20,ISNE,ISO New England,SUN,Solar,5,megawatthours,2019-12-31,Boston,5
2019-12-31T20,ISNE,ISO New England,WAT,Hydro,899,megawatthours,2019-12-31,Boston,899
2019-12-31T20,ISNE,ISO New England,WND,Wind,434,megawatthours,2019-12-31,Boston,434
2019-12-31T20,PJM,"PJM Interconnection, LLC",COL,Coal,11996,megawatthours,2019-12-31,Chicago,11996
2019-12-31T20,PJM,"PJM Interconnection, LLC",NG,Natural Gas,32766,megawatthours,2019-12-31,Chicago,32766
2019-12-31T20,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28869,megawatthours,2019-12-31,Chicago,28869
2019-12-31T20,PJM,"PJM Interconnection, LLC",OIL,Petroleum,215,megawatthours,2019-12-31,Chicago,215
2019-12-31T20,PJM,"PJM Interconnection, LLC",OTH,Other,708,megawatthours,2019-12-31,Chicago,708
