date,respondent,type-name,daily_mwh
2019-04-20,ISNE,Coal,92
2019-04-20,ISNE,Natural Gas,96790
2019-04-20,ISNE,Nuclear,66369
2019-04-20,ISNE,Petroleum,0
2019-04-21,ISNE,Coal,3
2019-04-21,ISNE,Hydro,29912
2019-04-21,ISNE,Natural Gas,85752
2019-04-21,ISNE,Nuclear,66356
2019-04-21,ISNE,Other,13777
2019-04-21,ISNE,Petroleum,0
2019-04-21,ISNE,Solar,368
2019-04-21,ISNE,Wind,7902
2019-04-21,PJM,Coal,326195
2019-04-21,PJM,Hydro,49853
2019-04-21,PJM,Natural Gas,552462
2019-04-21,PJM,Nuclear,697869
2019-04-21,PJM,Other,14043
2019-04-21,PJM,Petroleum,5117
2019-04-21,PJM,Solar,7069
2019-04-21,PJM,Wind,41306
2019-04-22,ISNE,Coal,10
2019-04-22,ISNE,Hydro,35193
2019-04-22,ISNE,Natural Gas,133251
2019-04-22,ISNE,Nuclear,56908
2019-04-22,ISNE,Other,12564
2019-04-22,ISNE,Petroleum,18
2019-04-22,ISNE,Solar,362
2019-04-22,ISNE,Wind,5822
2019-04-22,PJM,Coal,392568
2019-04-22,PJM,Hydro,63714
2019-04-22,PJM,Natural Gas,607697
2019-04-22,PJM,Nuclear,707295
2019-04-22,PJM,Other,25039
2019-04-22,PJM,Petroleum,5213
2019-04-22,PJM,Solar,7290
2019-04-22,PJM,Wind,103694
2019-04-23,ISNE,Coal,1
2019-04-23,ISNE,Hydro,30885
2019-04-23,ISNE,Natural Gas,140759
2019-04-23,ISNE,Nuclear,45858
2019-04-23,ISNE,Other,13588
2019-04-23,ISNE,Petroleum,0
2019-04-23,ISNE,Solar,499
2019-04-23,ISNE,Wind,9685
2019-04-23,PJM,Coal,389240
2019-04-23,PJM,Hydro,69829
2019-04-23,PJM,Natural Gas,696022
2019-04-23,PJM,Nuclear,706003
2019-04-23,PJM,Other,15143
2019-04-23,PJM,Petroleum,5187
2019-04-23,PJM,Solar,10006
2019-04-23,PJM,Wind,72878
2019-04-24,ISNE,Coal,79
2019-04-24,ISNE,Hydro,30640
2019-04-24,ISNE,Natural Gas,143526
2019-04-24,ISNE,Nuclear,46121
2019-04-24,ISNE,Other,13716
2019-04-24,ISNE,Petroleum,0
2019-04-24,ISNE,Solar,825
2019-04-24,ISNE,Wind,5845
2019-04-24,PJM,Coal,398129
2019-04-24,PJM,Hydro,65544
2019-04-24,PJM,Natural Gas,680633
2019-04-24,PJM,Nuclear,712243
2019-04-24,PJM,Other,20878
2019-04-24,PJM,Petroleum,5146
2019-04-24,PJM,Solar,9395
2019-04-24,PJM,Wind,44648
2019-04-25,ISNE,Coal,72
2019-04-25,ISNE,Hydro,31859
2019-04-25,ISNE,Natural Gas,135952
2019-04-25,ISNE,Nuclear,46048
2019-04-25,ISNE,Other,14219
2019-04-25,ISNE,Petroleum,30
2019-04-25,ISNE,Solar,1084
2019-04-25,ISNE,Wind,2725
2019-04-25,PJM,Coal,383220
2019-04-25,PJM,Hydro,60915
2019-04-25,PJM,Natural Gas,721539
2019-04-25,PJM,Nuclear,727424
2019-04-25,PJM,Other,19890
2019-04-25,PJM,Petroleum,5173
2019-04-25,PJM,Solar,7215
2019-04-25,PJM,Wind,16137
2019-04-26,ISNE,Coal,0
2019-04-26,ISNE,Hydro,32146
2019-04-26,ISNE,Natural Gas,144306
2019-04-26,ISNE,Nuclear,49435
2019-04-26,ISNE,Other,14329
2019-04-26,ISNE,Petroleum,98
2019-04-26,ISNE,Solar,117
2019-04-26,ISNE,Wind,11947
2019-04-26,PJM,Coal,333910
2019-04-26,PJM,Hydro,59633
2019-04-26,PJM,Natural Gas,646668
2019-04-26,PJM,Nuclear,738849
2019-04-26,PJM,Other,13555
2019-04-26,PJM,Petroleum,5244
2019-04-26,PJM,Solar,3254
2019-04-26,PJM,Wind,148288
2019-04-27,ISNE,Coal,0
2019-04-27,ISNE,Hydro,32261
2019-04-27,ISNE,Natural Gas,94464
2019-04-27,ISNE,Nuclear,51110
2019-04-27,ISNE,Other,14008
2019-04-27,ISNE,Petroleum,0
2019-04-27,ISNE,Solar,538
2019-04-27,ISNE,Wind,19139
2019-04-27,PJM,Coal,374923
2019-04-27,PJM,Hydro,41196
2019-04-27,PJM,Natural Gas,519038
2019-04-27,PJM,Nuclear,733330
2019-04-27,PJM,Other,12659
2019-04-27,PJM,Petroleum,5239
2019-04-27,PJM,Solar,10539
2019-04-27,PJM,Wind,109022
2019-04-28,ISNE,Coal,3
2019-04-28,ISNE,Hydro,32819
2019-04-28,ISNE,Natural Gas,101772
2019-04-28,ISNE,Nuclear,51405
2019-04-28,ISNE,Other,14308
2019-04-28,ISNE,Petroleum,16
2019-04-28,ISNE,Solar,807
2019-04-28,ISNE,Wind,14427
2019-04-28,PJM,Coal,366888
2019-04-28,PJM,Hydro,45835
2019-04-28,PJM,Natural Gas,537280
2019-04-28,PJM,Nuclear,743157
2019-04-28,PJM,Other,13844
2019-04-28,PJM,Petroleum,5269
2019-04-28,PJM,Solar,6747
2019-04-28,PJM,Wind,79897
2019-04-29,ISNE,Coal,15
2019-04-29,ISNE,Hydro,33353
2019-04-29,ISNE,Natural Gas,118557
2019-04-29,ISNE,Nuclear,51392
2019-04-29,ISNE,Other,13531
2019-04-29,ISNE,Petroleum,0
2019-04-29,ISNE,Solar,1146
2019-04-29,ISNE,Wind,16695
2019-04-29,PJM,Coal,434075
2019-04-29,PJM,Hydro,55080
2019-04-29,PJM,Natural Gas,621935
2019-04-29,PJM,Nuclear,748087
2019-04-29,PJM,Other,17521
2019-04-29,PJM,Petroleum,6002
2019-04-29,PJM,Solar,5672
2019-04-29,PJM,Wind,79229
2019-04-30,ISNE,Coal,318
2019-04-30,ISNE,Hydro,32264
2019-04-30,ISNE,Natural Gas,139612
2019-04-30,ISNE,Nuclear,51385
2019-04-30,ISNE,Other,13233
2019-04-30,ISNE,Petroleum,20
2019-04-30,ISNE,Solar,329
2019-04-30,ISNE,Wind,9748
2019-04-30,PJM,Coal,481842
2019-04-30,PJM,Hydro,57027
2019-04-30,PJM,Natural Gas,656865
2019-04-30,PJM,Nuclear,749548
2019-04-30,PJM,Other,22760
2019-04-30,PJM,Petroleum,5095
2019-04-30,PJM,Solar,8333
2019-04-30,PJM,Wind,70296
2019-05-01,ISNE,Coal,494
2019-05-01,ISNE,Hydro,33746
2019-05-01,ISNE,Natural Gas,137270
2019-05-01,ISNE,Nuclear,51324
2019-05-01,ISNE,Other,14224
2019-05-01,ISNE,Petroleum,87
2019-05-01,ISNE,Solar,304
2019-05-01,ISNE,Wind,6199
2019-05-01,PJM,Coal,485142
2019-05-01,PJM,Hydro,53598
2019-05-01,PJM,Natural Gas,652258
2019-05-01,PJM,Nuclear,748853
2019-05-01,PJM,Other,17795
2019-05-01,PJM,Petroleum,5270
2019-05-01,PJM,Solar,7114
2019-05-01,PJM,Wind,74910
2019-05-02,ISNE,Coal,179
2019-05-02,ISNE,Hydro,30909
2019-05-02,ISNE,Natural Gas,149725
2019-05-02,ISNE,Nuclear,51136
2019-05-02,ISNE,Other,13080
2019-05-02,ISNE,Petroleum,21
2019-05-02,ISNE,Solar,188
2019-05-02,ISNE,Wind,2556
2019-05-02,PJM,Coal,550673
2019-05-02,PJM,Hydro,64342
2019-05-02,PJM,Natural Gas,666682
2019-05-02,PJM,Nuclear,742589
2019-05-02,PJM,Other,21775
2019-05-02,PJM,Petroleum,5216
2019-05-02,PJM,Solar,8975
2019-05-02,PJM,Wind,33516
2019-05-03,ISNE,Coal,2
2019-05-03,ISNE,Hydro,29770
2019-05-03,ISNE,Natural Gas,142325
2019-05-03,ISNE,Nuclear,51013
2019-05-03,ISNE,Other,13209
2019-05-03,ISNE,Petroleum,83
2019-05-03,ISNE,Solar,214
2019-05-03,ISNE,Wind,2946
2019-05-03,PJM,Coal,541762
2019-05-03,PJM,Hydro,58884
2019-05-03,PJM,Natural Gas,653543
2019-05-03,PJM,Nuclear,741099
2019-05-03,PJM,Other,19588
2019-05-03,PJM,Petroleum,5245
2019-05-03,PJM,Solar,7595
2019-05-03,PJM,Wind,27810
2019-05-04,ISNE,Coal,1
2019-05-04,ISNE,Hydro,29779
2019-05-04,ISNE,Natural Gas,118149
2019-05-04,ISNE,Nuclear,51024
2019-05-04,ISNE,Other,13884
2019-05-04,ISNE,Petroleum,46
2019-05-04,ISNE,Solar,282
2019-05-04,ISNE,Wind,1030
2019-05-04,PJM,Coal,499954
2019-05-04,PJM,Hydro,37752
2019-05-04,PJM,Natural Gas,560916
2019-05-04,PJM,Nuclear,745430
2019-05-04,PJM,Other,19695
2019-05-04,PJM,Petroleum,5205
2019-05-04,PJM,Solar,7222
2019-05-04,PJM,Wind,13966
2019-05-05,ISNE,Coal,0
2019-05-05,ISNE,Hydro,34198
2019-05-05,ISNE,Natural Gas,105444
2019-05-05,ISNE,Nuclear,54088
2019-05-05,ISNE,Other,14137
2019-05-05,ISNE,Petroleum,0
2019-05-05,ISNE,Solar,260
2019-05-05,ISNE,Wind,3142
2019-05-05,PJM,Coal,417168
2019-05-05,PJM,Hydro,35109
2019-05-05,PJM,Natural Gas,560101
2019-05-05,PJM,Nuclear,746899
2019-05-05,PJM,Other,14252
2019-05-05,PJM,Petroleum,5138
2019-05-05,PJM,Solar,3036
2019-05-05,PJM,Wind,14075
2019-05-06,ISNE,Coal,129
2019-05-06,ISNE,Hydro,32037
2019-05-06,ISNE,Natural Gas,102634
2019-05-06,ISNE,Nuclear,65662
2019-05-06,ISNE,Other,13878
2019-05-06,ISNE,Petroleum,20
2019-05-06,ISNE,Solar,755
2019-05-06,ISNE,Wind,4174
2019-05-06,PJM,Coal,457037
2019-05-06,PJM,Hydro,50782
2019-05-06,PJM,Natural Gas,615783
2019-05-06,PJM,Nuclear,748139
2019-05-06,PJM,Other,17650
2019-05-06,PJM,Petroleum,5268
2019-05-06,PJM,Solar,7430
2019-05-06,PJM,Wind,50783
2019-05-07,ISNE,Coal,6
2019-05-07,ISNE,Hydro,32091
2019-05-07,ISNE,Natural Gas,101081
2019-05-07,ISNE,Nuclear,65342
2019-05-07,ISNE,Other,13118
2019-05-07,ISNE,Petroleum,0
2019-05-07,ISNE,Solar,556
2019-05-07,ISNE,Wind,9026
2019-05-07,PJM,Coal,474046
2019-05-07,PJM,Hydro,61611
2019-05-07,PJM,Natural Gas,617655
2019-05-07,PJM,Nuclear,766963
2019-05-07,PJM,Other,13625
2019-05-07,PJM,Petroleum,5745
2019-05-07,PJM,Solar,9999
2019-05-07,PJM,Wind,63772
2019-05-08,ISNE,Coal,27
2019-05-08,ISNE,Hydro,30088
2019-05-08,ISNE,Natural Gas,88870
2019-05-08,ISNE,Nuclear,65043
2019-05-08,ISNE,Other,13076
2019-05-08,ISNE,Petroleum,0
2019-05-08,ISNE,Solar,816
2019-05-08,ISNE,Wind,13124
2019-05-08,PJM,Coal,459760
2019-05-08,PJM,Hydro,53218
2019-05-08,PJM,Natural Gas,602815
2019-05-08,PJM,Nuclear,774781
2019-05-08,PJM,Other,13875
2019-05-08,PJM,Petroleum,5523
2019-05-08,PJM,Solar,8119
2019-05-08,PJM,Wind,114683
2019-05-09,ISNE,Coal,8
2019-05-09,ISNE,Hydro,30265
2019-05-09,ISNE,Natural Gas,98988
2019-05-09,ISNE,Nuclear,65124
2019-05-09,ISNE,Other,13585
2019-05-09,ISNE,Petroleum,14
2019-05-09,ISNE,Solar,964
2019-05-09,ISNE,Wind,6732
2019-05-09,PJM,Coal,487941
2019-05-09,PJM,Hydro,56273
2019-05-09,PJM,Natural Gas,598518
2019-05-09,PJM,Nuclear,758113
2019-05-09,PJM,Other,13533
2019-05-09,PJM,Petroleum,5367
2019-05-09,PJM,Solar,7431
2019-05-09,PJM,Wind,107040
2019-05-10,ISNE,Coal,37
2019-05-10,ISNE,Hydro,34268
2019-05-10,ISNE,Natural Gas,108757
2019-05-10,ISNE,Nuclear,65122
2019-05-10,ISNE,Other,14472
2019-05-10,ISNE,Petroleum,3
2019-05-10,ISNE,Solar,546
2019-05-10,ISNE,Wind,13813
2019-05-10,PJM,Coal,500963
2019-05-10,PJM,Hydro,60495
2019-05-10,PJM,Natural Gas,622854
2019-05-10,PJM,Nuclear,758839
2019-05-10,PJM,Other,15089
2019-05-10,PJM,Petroleum,6403
2019-05-10,PJM,Solar,7422
2019-05-10,PJM,Wind,47515
2019-05-11,ISNE,Coal,0
2019-05-11,ISNE,Hydro,33189
2019-05-11,ISNE,Natural Gas,80301
2019-05-11,ISNE,Nuclear,65014
2019-05-11,ISNE,Other,13740
2019-05-11,ISNE,Petroleum,177
2019-05-11,ISNE,Solar,747
2019-05-11,ISNE,Wind,17708
2019-05-11,PJM,Coal,388283
2019-05-11,PJM,Hydro,40135
2019-05-11,PJM,Natural Gas,529587
2019-05-11,PJM,Nuclear,764888
2019-05-11,PJM,Other,16049
2019-05-11,PJM,Petroleum,5236
2019-05-11,PJM,Solar,6383
2019-05-11,PJM,Wind,57304
2019-05-12,ISNE,Coal,85
2019-05-12,ISNE,Hydro,36000
2019-05-12,ISNE,Natural Gas,85366
2019-05-12,ISNE,Nuclear,65094
2019-05-12,ISNE,Other,13772
2019-05-12,ISNE,Petroleum,0
2019-05-12,ISNE,Solar,211
2019-05-12,ISNE,Wind,7747
2019-05-12,PJM,Coal,401329
2019-05-12,PJM,Hydro,45794
2019-05-12,PJM,Natural Gas,509597
2019-05-12,PJM,Nuclear,766579
2019-05-12,PJM,Other,16454
2019-05-12,PJM,Petroleum,4987
2019-05-12,PJM,Solar,2492
2019-05-12,PJM,Wind,43387
2019-05-13,ISNE,Coal,5
2019-05-13,ISNE,Hydro,37687
2019-05-13,ISNE,Natural Gas,116008
2019-05-13,ISNE,Nuclear,65194
2019-05-13,ISNE,Other,13323
2019-05-13,ISNE,Petroleum,0
2019-05-13,ISNE,Solar,383
2019-05-13,ISNE,Wind,8663
2019-05-13,PJM,Coal,464761
2019-05-13,PJM,Hydro,69515
2019-05-13,PJM,Natural Gas,613252
2019-05-13,PJM,Nuclear,770378
2019-05-13,PJM,Other,15212
2019-05-13,PJM,Petroleum,5372
2019-05-13,PJM,Solar,3840
2019-05-13,PJM,Wind,33769
2019-05-14,ISNE,Coal,68
2019-05-14,ISNE,Hydro,34171
2019-05-14,ISNE,Natural Gas,122416
2019-05-14,ISNE,Nuclear,64690
2019-05-14,ISNE,Other,14016
2019-05-14,ISNE,Petroleum,100
2019-05-14,ISNE,Solar,333
2019-05-14,ISNE,Wind,7906
2019-05-14,PJM,Coal,467271
2019-05-14,PJM,Hydro,57301
2019-05-14,PJM,Natural Gas,627642
2019-05-14,PJM,Nuclear,780315
2019-05-14,PJM,Other,14892
2019-05-14,PJM,Petroleum,5415
2019-05-14,PJM,Solar,6159
2019-05-14,PJM,Wind,30681
2019-05-15,ISNE,Coal,26
2019-05-15,ISNE,Hydro,34220
2019-05-15,ISNE,Natural Gas,98217
2019-05-15,ISNE,Nuclear,71829
2019-05-15,ISNE,Other,13871
2019-05-15,ISNE,Petroleum,255
2019-05-15,ISNE,Solar,592
2019-05-15,ISNE,Wind,7825
2019-05-15,PJM,Coal,470417
