date,respondent,type-name,daily_mwh
2019-12-31,ISNE,Coal,63
2019-12-31,ISNE,Hydro,21378
2019-12-31,ISNE,Natural Gas,118071
2019-12-31,ISNE,Nuclear,79892
2019-12-31,ISNE,Other,16419
2019-12-31,ISNE,Petroleum,1751
2019-12-31,ISNE,Solar,113
2019-12-31,ISNE,Wind,10821
2019-12-31,PJM,Coal,293194
2019-12-31,PJM,Hydro,40390
2019-12-31,PJM,Natural Gas,752847
2019-12-31,PJM,Nuclear,691726
2019-12-31,PJM,Other,16085
2019-12-31,PJM,Petroleum,5278
2019-12-31,PJM,Solar,1397
2019-12-31,PJM,Wind,59454
2020-01-02,ISNE,Coal,30
2020-01-02,ISNE,Hydro,23744
2020-01-02,ISNE,Natural Gas,122007
2020-01-02,ISNE,Nuclear,80049
2020-01-02,ISNE,Other,15335
2020-01-02,ISNE,Petroleum,2894
2020-01-02,ISNE,Solar,521
2020-01-02,ISNE,Wind,9807
2020-01-02,PJM,Coal,285119
2020-01-02,PJM,Hydro,43763
2020-01-02,PJM,Natural Gas,655830
2020-01-02,PJM,Nuclear,695027
2020-01-02,PJM,Other,13373
2020-01-02,PJM,Petroleum,4300
2020-01-02,PJM,Solar,427
2020-01-02,PJM,Wind,31152
2020-01-03,ISNE,Coal,19
2020-01-03,ISNE,Hydro,18408
2020-01-03,ISNE,Natural Gas,130570
2020-01-03,ISNE,Nuclear,80089
2020-01-03,ISNE,Other,14300
2020-01-03,ISNE,Petroleum,3748
2020-01-03,ISNE,Solar,127
2020-01-03,ISNE,Wind,9951
2020-01-03,PJM,Coal,272003
2020-01-03,PJM,Hydro,46641
2020-01-03,PJM,Natural Gas,664308
2020-01-03,PJM,Nuclear,694806
2020-01-03,PJM,Other,19891
2020-01-03,PJM,Petroleum,4327
2020-01-03,PJM,Solar,54
2020-01-03,PJM,Wind,7106
2020-01-06,ISNE,Coal,79
2020-01-06,ISNE,Hydro,26182
2020-01-06,ISNE,Natural Gas,152059
2020-01-06,ISNE,Nuclear,80146
2020-01-06,ISNE,Other,15580
2020-01-06,ISNE,Petroleum,141
2020-01-06,ISNE,Solar,166
2020-01-06,ISNE,Wind,5534
2020-01-06,PJM,Coal,319086
2020-01-06,PJM,Hydro,39818
2020-01-06,PJM,Natural Gas,654048
2020-01-06,PJM,Nuclear,716574
2020-01-06,PJM,Other,18035
2020-01-06,PJM,Petroleum,4331
2020-01-06,PJM,Solar,460
2020-01-06,PJM,Wind,23085
2020-01-07,ISNE,Coal,164
2020-01-07,ISNE,Hydro,23105
2020-01-07,ISNE,Natural Gas,139982
2020-01-07,ISNE,Nuclear,80045
2020-01-07,ISNE,Other,14559
2020-01-07,ISNE,Petroleum,4022
2020-01-07,ISNE,Solar,490
2020-01-07,ISNE,Wind,7255
2020-01-07,PJM,Coal,345049
2020-01-07,PJM,Hydro,43488
2020-01-07,PJM,Natural Gas,672604
2020-01-07,PJM,Nuclear,717293
2020-01-07,PJM,Other,17262
2020-01-07,PJM,Petroleum,6257
2020-01-07,PJM,Solar,224
2020-01-07,PJM,Wind,16580
2020-01-08,ISNE,Coal,10
2020-01-08,ISNE,Hydro,24702
2020-01-08,ISNE,Natural Gas,139165
2020-01-08,ISNE,Nuclear,80038
2020-01-08,ISNE,Other,14650
2020-01-08,ISNE,Petroleum,437
2020-01-08,ISNE,Solar,416
2020-01-08,ISNE,Wind,9409
2020-01-08,PJM,Coal,328953
2020-01-08,PJM,Hydro,46632
2020-01-08,PJM,Natural Gas,664262
2020-01-08,PJM,Nuclear,717469
2020-01-08,PJM,Other,21348
2020-01-08,PJM,Petroleum,3250
2020-01-08,PJM,Solar,503
2020-01-08,PJM,Wind,34289
2020-01-09,ISNE,Coal,66
2020-01-09,ISNE,Hydro,27827
2020-01-09,ISNE,Natural Gas,151292
2020-01-09,ISNE,Nuclear,79969
2020-01-09,ISNE,Other,15085
2020-01-09,ISNE,Petroleum,632
2020-01-09,ISNE,Solar,817
2020-01-09,ISNE,Wind,15165
2020-01-09,PJM,Coal,329777
2020-01-09,PJM,Hydro,40680
2020-01-09,PJM,Natural Gas,666027
2020-01-09,PJM,Nuclear,717466
2020-01-09,PJM,Other,26938
2020-01-09,PJM,Petroleum,2529
2020-01-09,PJM,Solar,701
2020-01-09,PJM,Wind,35921
2020-01-10,ISNE,Coal,6
2020-01-10,ISNE,Hydro,21123
2020-01-10,ISNE,Natural Gas,142555
2020-01-10,ISNE,Nuclear,80075
2020-01-10,ISNE,Other,17192
2020-01-10,ISNE,Petroleum,1188
2020-01-10,ISNE,Solar,135
2020-01-10,ISNE,Wind,16938
2020-01-10,PJM,Coal,295649
2020-01-10,PJM,Hydro,39544
2020-01-10,PJM,Natural Gas,599874
2020-01-10,PJM,Nuclear,714420
2020-01-10,PJM,Other,23685
2020-01-10,PJM,Petroleum,2043
2020-01-10,PJM,Solar,332
2020-01-10,PJM,Wind,27018
2020-01-13,ISNE,Coal,47
2020-01-13,ISNE,Hydro,31179
2020-01-13,ISNE,Natural Gas,140333
2020-01-13,ISNE,Nuclear,80061
2020-01-13,ISNE,Other,18074
2020-01-13,ISNE,Petroleum,692
2020-01-13,ISNE,Solar,90
2020-01-13,ISNE,Wind,1700
2020-01-13,PJM,Coal,258788
2020-01-13,PJM,Hydro,48170
2020-01-13,PJM,Natural Gas,638798
2020-01-13,PJM,Nuclear,715085
2020-01-13,PJM,Other,17749
2020-01-13,PJM,Petroleum,1086
2020-01-13,PJM,Solar,98
2020-01-13,PJM,Wind,13712
2020-01-14,ISNE,Coal,248
2020-01-14,ISNE,Hydro,31983
2020-01-14,ISNE,Natural Gas,137391
2020-01-14,ISNE,Nuclear,80131
2020-01-14,ISNE,Other,18055
2020-01-14,ISNE,Petroleum,375
2020-01-14,ISNE,Solar,242
2020-01-14,ISNE,Wind,1026
2020-01-14,PJM,Coal,263967
2020-01-14,PJM,Hydro,39315
2020-01-14,PJM,Natural Gas,649716
2020-01-14,PJM,Nuclear,714970
2020-01-14,PJM,Other,11689
2020-01-14,PJM,Petroleum,2900
2020-01-14,PJM,Solar,42
2020-01-14,PJM,Wind,19231
2020-01-15,ISNE,Coal,301
2020-01-15,ISNE,Hydro,30192
2020-01-15,ISNE,Natural Gas,125785
2020-01-15,ISNE,Nuclear,79928
2020-01-15,ISNE,Other,17914
2020-01-15,ISNE,Petroleum,0
2020-01-15,ISNE,Solar,627
2020-01-15,ISNE,Wind,4918
2020-01-15,PJM,Coal,250757
2020-01-15,PJM,Hydro,39616
2020-01-15,PJM,Natural Gas,655797
2020-01-15,PJM,Nuclear,713865
2020-01-15,PJM,Other,12169
2020-01-15,PJM,Petroleum,1415
2020-01-15,PJM,Solar,652
2020-01-15,PJM,Wind,16104
2020-01-16,ISNE,Coal,80
2020-01-16,ISNE,Hydro,28630
2020-01-16,ISNE,Natural Gas,131606
2020-01-16,ISNE,Nuclear,80079
2020-01-16,ISNE,Other,18850
2020-01-16,ISNE,Petroleum,97
2020-01-16,ISNE,Solar,369
2020-01-16,ISNE,Wind,7086
2020-01-16,PJM,Coal,265634
2020-01-16,PJM,Hydro,41497
2020-01-16,PJM,Natural Gas,670947
2020-01-16,PJM,Nuclear,712832
2020-01-16,PJM,Other,19658
2020-01-16,PJM,Petroleum,260
2020-01-16,PJM,Solar,580
2020-01-16,PJM,Wind,36830
2020-01-17,ISNE,Coal,2764
2020-01-17,ISNE,Hydro,24340
2020-01-17,ISNE,Natural Gas,139138
2020-01-17,ISNE,Nuclear,80058
2020-01-17,ISNE,Other,18979
2020-01-17,ISNE,Petroleum,2040
2020-01-17,ISNE,Solar,802
2020-01-17,ISNE,Wind,16896
2020-01-17,PJM,Coal,337163
2020-01-17,PJM,Hydro,45026
2020-01-17,PJM,Natural Gas,784529
2020-01-17,PJM,Nuclear,714931
2020-01-17,PJM,Other,28177
2020-01-17,PJM,Petroleum,1065
2020-01-17,PJM,Solar,843
2020-01-17,PJM,Wind,25448
2020-01-21,ISNE,Coal,5165
2020-01-21,ISNE,Hydro,29128
2020-01-21,ISNE,Natural Gas,164041
2020-01-21,ISNE,Nuclear,80063
2020-01-21,ISNE,Other,19161
2020-01-21,ISNE,Petroleum,3545
2020-01-21,ISNE,Solar,451
2020-01-21,ISNE,Wind,7755
2020-01-21,PJM,Coal,573918
2020-01-21,PJM,Hydro,42472
2020-01-21,PJM,Natural Gas,745602
2020-01-21,PJM,Nuclear,714199
2020-01-21,PJM,Other,21044
2020-01-21,PJM,Petroleum,1077
2020-01-21,PJM,Solar,843
2020-01-21,PJM,Wind,11066
2020-01-22,ISNE,Coal,139
2020-01-22,ISNE,Hydro,25435
2020-01-22,ISNE,Natural Gas,170865
2020-01-22,ISNE,Nuclear,80070
2020-01-22,ISNE,Other,18508
2020-01-22,ISNE,Petroleum,81
2020-01-22,ISNE,Solar,530
2020-01-22,ISNE,Wind,6263
2020-01-22,PJM,Coal,530766
2020-01-22,PJM,Hydro,36110
2020-01-22,PJM,Natural Gas,721532
2020-01-22,PJM,Nuclear,714011
2020-01-22,PJM,Other,11302
2020-01-22,PJM,Petroleum,1280
2020-01-22,PJM,Solar,823
2020-01-22,PJM,Wind,16448
2020-01-23,ISNE,Coal,3
2020-01-23,ISNE,Hydro,23234
2020-01-23,ISNE,Natural Gas,155541
2020-01-23,ISNE,Nuclear,80171
2020-01-23,ISNE,Other,17949
2020-01-23,ISNE,Petroleum,595
2020-01-23,ISNE,Solar,598
2020-01-23,ISNE,Wind,8751
2020-01-23,PJM,Coal,420638
2020-01-23,PJM,Hydro,32065
2020-01-23,PJM,Natural Gas,773471
2020-01-23,PJM,Nuclear,713874
2020-01-23,PJM,Other,11613
2020-01-23,PJM,Petroleum,1132
2020-01-23,PJM,Solar,379
2020-01-23,PJM,Wind,14418
2020-01-24,ISNE,Coal,0
2020-01-24,ISNE,Hydro,23653
2020-01-24,ISNE,Natural Gas,135092
2020-01-24,ISNE,Nuclear,80064
2020-01-24,ISNE,Other,19343
2020-01-24,ISNE,Petroleum,53
2020-01-24,ISNE,Solar,783
2020-01-24,ISNE,Wind,4301
2020-01-24,PJM,Coal,308846
2020-01-24,PJM,Hydro,33368
2020-01-24,PJM,Natural Gas,711383
2020-01-24,PJM,Nuclear,713292
2020-01-24,PJM,Other,12421
2020-01-24,PJM,Petroleum,3186
2020-01-24,PJM,Solar,528
2020-01-24,PJM,Wind,21625
2020-01-27,ISNE,Coal,19
2020-01-27,ISNE,Hydro,26770
2020-01-27,ISNE,Natural Gas,130021
2020-01-27,ISNE,Nuclear,80063
2020-01-27,ISNE,Other,18324
2020-01-27,ISNE,Petroleum,8
2020-01-27,ISNE,Solar,392
2020-01-27,ISNE,Wind,9671
2020-01-27,PJM,Coal,283487
2020-01-27,PJM,Hydro,47566
2020-01-27,PJM,Natural Gas,749568
2020-01-27,PJM,Nuclear,712814
2020-01-27,PJM,Other,11321
2020-01-27,PJM,Petroleum,4191
2020-01-27,PJM,Solar,248
2020-01-27,PJM,Wind,9389
2020-01-28,ISNE,Coal,5
2020-01-28,ISNE,Hydro,26380
2020-01-28,ISNE,Natural Gas,131965
2020-01-28,ISNE,Nuclear,80118
2020-01-28,ISNE,Other,17861
2020-01-28,ISNE,Petroleum,0
2020-01-28,ISNE,Solar,241
2020-01-28,ISNE,Wind,8106
2020-01-28,PJM,Coal,272979
2020-01-28,PJM,Hydro,48847
2020-01-28,PJM,Natural Gas,762848
2020-01-28,PJM,Nuclear,711968
2020-01-28,PJM,Other,23092
2020-01-28,PJM,Petroleum,4359
2020-01-28,PJM,Solar,339
2020-01-28,PJM,Wind,5630
2020-01-29,ISNE,Coal,42
2020-01-29,ISNE,Hydro,29373
2020-01-29,ISNE,Natural Gas,135584
2020-01-29,ISNE,Nuclear,80118
2020-01-29,ISNE,Other,17616
2020-01-29,ISNE,Petroleum,1122
2020-01-29,ISNE,Solar,915
2020-01-29,ISNE,Wind,13194
2020-01-29,PJM,Coal,274553
2020-01-29,PJM,Hydro,50059
2020-01-29,PJM,Natural Gas,806948
2020-01-29,PJM,Nuclear,708477
2020-01-29,PJM,Other,23406
2020-01-29,PJM,Petroleum,4139
2020-01-29,PJM,Solar,715
2020-01-29,PJM,Wind,2612
2020-01-30,ISNE,Coal,50
2020-01-30,ISNE,Hydro,27289
2020-01-30,ISNE,Natural Gas,165903
2020-01-30,ISNE,Nuclear,79995
2020-01-30,ISNE,Other,17283
2020-01-30,ISNE,Petroleum,91
2020-01-30,ISNE,Solar,936
2020-01-30,ISNE,Wind,6325
2020-01-30,PJM,Coal,252614
2020-01-30,PJM,Hydro,50478
2020-01-30,PJM,Natural Gas,854455
2020-01-30,PJM,Nuclear,707011
2020-01-30,PJM,Other,24754
