Event,Type,Begin Date,End Date,Summary,CPI-AUnadjusted  Estimated Cost (in Billions),Deaths
Southern/Eastern/Northwestern Drought and Heat Wave2024,Drought,"January 1, 2024","December 31, 2024","Drought conditions impacted many Southern, Eastern and Northwestern states. This drought was more transient in its impacts over numerous states throughout the year. The states of Texas, Oklahoma and Kansas had some of the highest losses to crops from the effects of drought and heat. As the drought changed in intensity and duration throughout the year across several regions of the country. Several Northwestern states also had costly impacted to agriculture including Montana, Idaho and Washington. Numerous southern and eastern states from Mississippi through Pennsylvania also experienced crop impacts that were most severe in the Summer months. The drought conditions also strengthen through the Fall and Winter months impacting Maryland, Delaware and New Jersey. It was also one of the hottest years on record for a number of these states, which claimed more than 100 lives from excessive heat exposure.",$5.4 CI,136
Hurricane FrancineSeptember 2024,Tropical Cyclone,"September 11, 2024","September 12, 2024","Category 2 Hurricane Francine made landfall in Terrebonne Parish, Louisiana on September 11, with 100 mph sustained winds. The storm caused wind and flood damage to homes, vehicles, businesses and other infrastructure across coastal Louisiana. Francine also produced heavy precipitation in parts of Alabama and Georgia. Muscle Shoals, AL recorded a three-day rainfall total of 9.02 inches beginning on September 12, which is its third highest 3-day total on record since 1893.",$1.3 CI,0
Central and Eastern Tornado Outbreak and Severe WeatherJuly 2024,Severe Storm,"July 13, 2024","July 16, 2024","An outbreak producing more than 79 tornadoes developed across many central and eastern states. There were also over 1,000 reports of high wind and hail damage during this multi-day event. On July 15, this outbreak spawned 32 tornadoes and broke the Chicago-area record for the most tornadoes in a day. The states most impacted were Illinois, Indiana, Minnesota, Pennsylvania and New York that experienced considerable damage to homes, businesses, vehicles and other infrastructure.",$2.4 CI,2
Hurricane BerylJuly 2024,Tropical Cyclone,"July 8, 2024","July 8, 2024","Category 1 Hurricane Beryl made landfall in Texas on July 8 producing widespread high wind damage, as the storm was restrengthening at landfall. One significant impact were power outages that impacted millions of people for days. Beryl also produced more than 50 tornadoes across eastern Texas, western Louisiana and southern Arkansas. On July 1, Beryl became the earliest Category 5 hurricane and the second Category 5 on record during the month of July in the Atlantic Ocean.",$7.2 CI,46
Central and Northeast Severe WeatherJune 2024,Severe Storm,"June 24, 2024","June 26, 2024","High wind, hail and tornadoes impact numerous central and northeastern states on June 24-26. Several states were impacted by tornadoes including Nebraska, Iowa, Pennsylvania, Rhode Island and Massachusetts. On June 25, an EF-3 tornado hit Whitman, Nebraska and the surrounding area. It was the first strong tornado to impact Grant County, Nebraska in more than 70 years. On June 26, a tornado that impacted Providence County, Rhode Island was the first June tornado reported in the state since records began in 1950.",$1.7 CI,3
Central and Eastern Severe WeatherJune 2024,Severe Storm,"June 12, 2024","June 14, 2024","Damaging hail, high wind and tornadoes impact several central and eastern states including Missouri, Iowa, Kansas, Nebraska, Minnesota, Ohio, Michigan and Pennsylvania on June 12-14. Central and northern Minnesota received damage from quarter to golf ball sized hail while the metro region of Omaha, Nebraska experienced up to baseball sized hail damaging homes, vehicles and businesses. There were also two dozen tornadoes and hundreds of damaging wind reports across these states.",$1.2 CI,0
Colorado Hail Storms and Southern Severe WeatherMay 2024,Severe Storm,"May 31, 2024","June 1, 2024","Severe hail storms caused damage across eastern Colorado, with numerous reports of golf ball to baseball-sized hail. There was considerable damage to homes, vehicles, businesses and other infrastructure. Severe storms also produced high wind damage across Texas.",$3.0 CI,0
Texas Hail StormsMay 2024,Severe Storm,"May 27, 2024","May 28, 2024","Golfball to softball-sized hail caused extensive damage across north and east Texas. Some of these hail storms impacted major cities including Dallas and Houston where homes, vehicles, businesses and other infrastructure were damaged.",$2.3 CI,1
Central Tornado OutbreakMay 2024,Severe Storm,"May 25, 2024","May 26, 2024","An outbreak producing more than 110 tornadoes developed across many central states. The states most affected include Missouri, Arkansas, Texas, Oklahoma, Illinois and Kentucky causing widespread damage to homes, businesses, vehicles, agriculture and other infrastructure. On May 25, an EF-3 tornado tracked through the Montague, Cooke and Denton counties of Texas, with maximum winds of 140 mph that caused seven fatalities and at least 100 injuries.",$3.5 CI,16
"Central, Southern, Eastern Severe WeatherMay 2024",Severe Storm,"May 18, 2024","May 22, 2024","Severe storms across many central, southern and eastern states produced widespread impacts from several dozen tornadoes, severe hail and high winds. The states most impacted were Nebraska, Kansas, Oklahoma, Texas, Iowa and Wisconsin, as each experienced considerable damage to homes, vehicles, businesses, agriculture and additional infrastructure. On May 21, an EF-4 tornado cut a 44-mile path across southeast Iowa, with peak wind speeds of 175-185 mph. The town of Greenfield, Iowa was heavily damaged. Multiple 'Particularly Dangerous Situation (PDS)' watches were issued by NOAA's National Weather Service for these states, during this multi-day sequence. Several eastern states also sustained high wind damage from these storms.",$4.9 CI,5
Southern DerechoMay 2024,Severe Storm,"May 16, 2024","May 17, 2024","A rare southern derecho event produced high wind damage from Texas to Florida. Central and eastern Texas were impacted by high winds at times exceeding 100 mph. These winds also ripped through downtown Houston blowing out numerous windows in skyscrapers causing considerable damage. Louisiana, Alabama and Florida also were impacted by damaging winds impacting many homes, vehicles and businesses.",$1.6 CI,8
Southern Severe WeatherMay 2024,Severe Storm,"May 11, 2024","May 13, 2024","Damaging hail, tornadoes and high wind impact central and eastern Texas, southern Louisiana and the Florida Panhandle on May 11-13. In addition to golf ball sized hail in Texas, more than a dozen tornadoes cause damage to homes, vehicles, businesses and other infrastructure in near coastal counties of Louisiana, Texas and Florida.",$1.1 CI,1
"Central, Southern, Southeastern Tornado OutbreakMay 2024",Severe Storm,"May 6, 2024","May 9, 2024","An outbreak producing more than 165 tornadoes developed across many central, southern and southeastern states. The states most affected include Oklahoma, Kansas, Nebraska, Michigan, Indiana, Ohio, Kentucky, Tennessee, Alabama, North Carolina, South Carolina, Georgia and Florida. This multi-day tornado outbreak produced at least 61 EF-0, 79 EF-1, 13 EF-2, three EF-3, one EF-4 tornado and dozens of EF-U (unknown/unrated) tornadoes, causing widespread damage to homes, businesses, vehicles, agriculture and other infrastructure. The towns of Barnsdall and Bartlesville, Oklahoma were impacted by an EF-4 tornado that caused extensive damage.",$6.6 CI,3
Central and Southern Tornado OutbreakApril 2024,Severe Storm,"April 26, 2024","April 28, 2024","An outbreak producing more than 140 tornadoes developed across several central and southern states including Nebraska, Iowa, Kansas, Missouri, Oklahoma and Texas causing widespread damage to many homes, businesses, vehicles, agriculture and other infrastructure. Eastern Nebraska was particularly impacted by numerous strong tornadoes. Lincoln narrowly avoided a direct hit, with a large tornado touching down on the edge of the city. The same storm also spawned a mile-wide tornado that heavily damaged the towns of Elkhorn, Bennington, and Blair on the outskirts of Omaha. On April 27, an EF-4 tornado struck Marietta, Oklahoma damaging a large commercial distribution center. Near downtown Omaha another EF-3 touched down at Eppley Airfield, which destroyed several hangars and airplanes. Several tornadoes also touched down close to Topeka, Kansas while an EF-3 tornado caused extensive damage to the town of Westmoreland.",$1.7 CI,3
Southern and Eastern Severe WeatherApril 2024,Severe Storm,"April 8, 2024","April 11, 2024","Southern and eastern severe weather produced tornadoes, hail and high wind, from Texas to Virginia. The event began with severe hail and high wind impacts across central and eastern Texas, followed by more than 20 tornadoes impacting the Gulf Coast counties of Louisiana, Mississippi, Alabama and Florida. There were additional high wind and tornado impacts in North Carolina and Virginia.",$2.7 CI,0
Central Tornado Outbreak and Eastern Severe WeatherApril 2024,Severe Storm,"April 1, 2024","April 3, 2024","A central tornado outbreak produced more than 85 tornadoes across a three-day period from Oklahoma to West Virginia. This outbreak included 19 EF-0, 52 EF-1 and 14 EF-2 tornadoes, which were most concentrated across the Ohio River Valley on April 1-2. These tornadoes and severe weather impacts across several eastern states caused damage to homes, businesses, vehicles and other infrastructure.",$2.5 CI,3
Central and Southern Severe WeatherMarch 2024,Severe Storm,"March 12, 2024","March 14, 2024","Damaging hail, tornadoes and high wind from severe storms impact many Central and Southern states. Kansas, Oklahoma and Missouri were affected by up to baseball-sized hail damaging homes, vehicles, businesses. Illinois, Indiana and Ohio were impacted by hail, high wind and dozens of tornadoes including a deadly EF-3 striking northwest Ohio.",$6.2 CI,3
Southern Severe WeatherFebruary 2024,Severe Storm,"February 10, 2024","February 12, 2024","Severe storms produced up to golf ball sized hail across central and eastern Texas causing damage to homes, vehicles and businesses. Additional damage from hail and high winds and training thunderstorms caused flooding across portions of Louisiana, Alabama, Georgia, Florida and North Carolina.",$1.1 CI,0
"Central, Southern, Northeastern Winter Storm and Cold WaveJanuary 2024",Winter Storm,"January 14, 2024","January 18, 2024","A bitterly cold airmass affected numerous central and southern states most including Illinois, Missouri, Kansas, Texas, Mississippi, Arkansas, Tennessee and Georgia. This long-duration cold wave produced sleet and freezing rain accumulations into the deep south, across much of Mississippi. High winds also pushed wind chills well below zero for many states contributing to dozens of fatalities, many in Tennessee. Damage also occurred to homes, vehicles and businesses from the high winds and frozen precipitation.",$1.9 CI,41
Southern Tornado Outbreak and East Coast StormJanuary 2024,Severe Storm,"January 8, 2024","January 10, 2024","Southern tornado outbreak and east coast storm impacted more than a dozen states. At least 39 preliminary tornadoes were clustered around the Florida Panhandle through the Carolinas while hundreds of high wind reports were scattered up the East Coast reflecting damage to homes, businesses, vehicles and other infrastructure. The strongest tornado was an EF-3 that caused significant damage around Panama City Beach, Florida, after an intense waterspout moved onshore.",$2.8 CI,3
Southern/Midwestern Drought and HeatwaveSpring-Fall 2023,Drought,"April 1, 2023","September 30, 2023","Drought conditions impacted numerous Southern and Midwestern states (TX, LA, OK, KS, IL, MO, NE) and surrounding states. The agriculture sector has been impacted across these affected states including damage to field crops from lack of rainfall. Ranchers have also been forced to sell-off livestock early in some regions due to high feeding costs. For the second straight year, portions of the Mississippi River have experienced low water levels impacting river commerce. This low flow has also allowed salt water from the Gulf of Mexico to migrate northward, along the bottom of the Mississippi River, impacting water quality in southern Louisiana. Several Northwestern states including Washington, Oregon and Montana have also been impacted by increasing drought effects.",$14.8 CI,247
Southern Hail StormsSeptember 2023,Severe Storm,"September 23, 2023","September 24, 2023","Hail storms impact Texas, Oklahoma and Missouri. The most damaging impacts were in central Texas including Austin, Georgetown, Round Rock and Arlington on September 24. Towns north of Austin in particular were impacted by baseball sized hail causing damage to homes, vehicles and businesses.",$1.7 CI,0
Central Severe WeatherJune 2023,Severe Storm,"June 28, 2023","July 2, 2023","Severe storms caused damage across numerous Central states. The state most impacted were Missouri, Illinois and Indiana while there were also damage in many surrounding states. The damage to many homes, vehicles, businesses and agriculture assets was largely from high wind and damaging hail but there were also scattered tornado impacts.",$2.0 CI,3
