period,subba,subba-name,parent,parent-name,timezone,value,value-units
2019-12-31,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,65281,megawatthours
2019-12-31,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,65269,megawatthours
2019-12-31,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,65285,megawatthours
2019-12-31,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,65281,megawatthours
2019-12-31,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,65276,megawatthours
2019-12-31,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,258953,megawatthours
2019-12-31,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,259129,megawatthours
2019-12-31,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,259413,megawatthours
2019-12-31,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,258953,megawatthours
2019-12-31,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,258783,megawatthours
2019-12-30,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,67868,megawatthours
2019-12-30,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,67768,megawatthours
2019-12-30,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,67639,megawatthours
2019-12-30,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,67868,megawatthours
2019-12-30,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,67942,megawatthours
2019-12-30,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,257508,megawatthours
2019-12-30,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,256131,megawatthours
2019-12-30,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,254634,megawatthours
2019-12-30,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,257508,megawatthours
2019-12-30,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,258869,megawatthours
2019-12-29,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,59390,megawatthours
2019-12-29,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,59430,megawatthours
2019-12-29,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,59472,megawatthours
2019-12-29,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,59390,megawatthours
2019-12-29,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,59368,megawatthours
2019-12-29,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,214714,megawatthours
2019-12-29,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,215040,megawatthours
2019-12-29,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,215491,megawatthours
2019-12-29,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,214714,megawatthours
2019-12-29,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,214524,megawatthours
2019-12-28,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,58472,megawatthours
2019-12-28,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,58390,megawatthours
2019-12-28,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,58323,megawatthours
2019-12-28,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,58472,megawatthours
2019-12-28,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,58559,megawatthours
2019-12-28,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,236496,megawatthours
