Date,Last Price,Date,Last Price,Date,Last Price
12/19/2024,10.85,12/19/2024,3.14,12/19/2024,2.93
12/17/2024,3.3,12/18/2024,3.01,12/18/2024,2.88
12/13/2024,7.15,12/17/2024,2.84,12/17/2024,2.7
12/6/2024,6.85,12/16/2024,2.88,12/16/2024,2.72
12/5/2024,14,12/13/2024,3.14,12/13/2024,2.75
11/27/2024,10,12/12/2024,3.12,12/12/2024,2.92
11/25/2024,3.5,12/11/2024,3.13,12/11/2024,3
11/22/2024,2.85,12/10/2024,3.06,12/10/2024,2.76
11/13/2024,2.7,12/9/2024,3.06,12/9/2024,2.76
11/12/2024,2.78,12/6/2024,2.84,12/6/2024,2.6
10/23/2024,2,12/5/2024,2.95,12/5/2024,2.74
10/17/2024,1.95,12/4/2024,2.75,12/4/2024,2.71
10/16/2024,2.11,12/3/2024,2.94,12/3/2024,2.74
10/7/2024,1.58,12/2/2024,3.05,12/2/2024,2.82
10/4/2024,1.58,11/27/2024,3.37,11/27/2024,2.88
10/3/2024,1.7,11/26/2024,3.147,11/26/2024,3.106
9/13/2024,2.21,11/25/2024,2.774,11/25/2024,2.79
9/11/2024,2.09,11/22/2024,2.41,11/22/2024,2.36
9/6/2024,1.9,11/21/2024,2.84,11/21/2024,2.68
8/1/2024,1.85,11/20/2024,2.32,11/20/2024,2.4
7/24/2024,1.83,11/19/2024,2.1,11/19/2024,2
7/17/2024,2,11/18/2024,2.08,11/18/2024,1.88
7/12/2024,2.1,11/15/2024,1.65,11/15/2024,1.61
7/10/2024,1.94,11/14/2024,2.11,11/14/2024,1.8
7/9/2024,2.06,11/13/2024,2.04,11/13/2024,2
6/28/2024,1.6,11/12/2024,1.92,11/12/2024,1.87
6/14/2024,2,11/8/2024,1.22,11/8/2024,1.18
6/13/2024,1.9,11/7/2024,1.49,11/7/2024,1.44
6/12/2024,1.9,11/6/2024,1.8,11/6/2024,1.72
6/5/2024,1.65,11/5/2024,1.724,11/5/2024,1.52
5/31/2024,1.33,11/4/2024,1.466,11/4/2024,1.15
5/24/2024,1.55,11/1/2024,1.42,11/1/2024,1.19
5/21/2024,2.1,10/31/2024,1.82,10/31/2024,1.71
5/15/2024,1.81,10/30/2024,1.93,10/30/2024,1.78
5/13/2024,1.65,10/29/2024,2.03,10/29/2024,1.85
4/22/2024,1.65,10/28/2024,2.03,10/28/2024,1.85
4/17/2024,1.55,10/25/2024,1.94,10/25/2024,1.89
4/16/2024,1.43,10/24/2024,2.04,10/24/2024,1.91
4/15/2024,1.35,10/23/2024,1.9,10/23/2024,1.84
4/8/2024,1.5,10/22/2024,1.832,10/22/2024,1.7
4/5/2024,1.6,10/21/2024,1.77,10/21/2024,1.36
4/3/2024,2.08,10/18/2024,1.82,10/18/2024,1.4
4/2/2024,2.1,10/17/2024,2.19,10/17/2024,1.77
3/28/2024,1.57,10/16/2024,2.21,10/16/2024,2
3/27/2024,1.45,10/15/2024,2.37,10/15/2024,2
3/25/2024,1.6,10/14/2024,2.299,10/14/2024,2.133
3/20/2024,2.1,10/11/2024,2.31,10/11/2024,2.14
3/12/2024,1.55,10/10/2024,2.26,10/10/2024,2.12
3/11/2024,1.55,10/9/2024,2.43,10/9/2024,2.23
3/8/2024,1.61,10/8/2024,2.39,10/8/2024,2.38
2/27/2024,1.49,10/7/2024,2.506,10/7/2024,2.07
2/22/2024,2.15,10/4/2024,2.509,10/4/2024,2.07
1/31/2024,3.35,10/3/2024,2.75,10/3/2024,2.37
1/25/2024,2.37,10/2/2024,2.77,10/2/2024,2.5
1/24/2024,2.55,10/1/2024,2.67,10/1/2024,2.47
1/8/2024,3.55,9/30/2024,2.65,9/30/2024,2.37
12/15/2023,1.75,9/27/2024,2.657,9/27/2024,2.2
12/7/2023,2.85,9/26/2024,2.64,9/26/2024,2.37
12/5/2023,14.35,9/25/2024,2.705,9/25/2024,2.28
12/4/2023,6,9/24/2024,2.61,9/24/2024,2.35
11/28/2023,10.5,9/23/2024,2.589,9/23/2024,2.23
11/21/2023,2.78,9/20/2024,2.2,9/20/2024,1.89
11/20/2023,3.05,9/19/2024,2.337,9/19/2024,1.9
11/17/2023,3.7,9/18/2024,2.404,9/18/2024,2.02
11/15/2023,2.51,9/17/2024,2.34,9/17/2024,2.1
11/8/2023,2.04,9/16/2024,2.282,9/16/2024,1.9485
11/6/2023,1.76,9/13/2024,2.2565,9/13/2024,1.8725
11/3/2023,1.6,9/12/2024,2.216,9/12/2024,1.825
10/31/2023,4.41,9/11/2024,2.194,9/11/2024,1.7985
10/30/2023,3.23,9/10/2024,2.1375,9/10/2024,1.7905
10/27/2023,1.45,9/9/2024,2.0265,9/9/2024,1.7815
10/26/2023,1.28,9/6/2024,2.01,9/6/2024,1.64
10/24/2023,1.5,9/5/2024,2.01,9/5/2024,1.64
10/23/2023,1.8,9/4/2024,2.01,9/4/2024,1.64
10/9/2023,1.47,9/3/2024,2.01,9/3/2024,1.64
10/5/2023,1.26,8/30/2024,1.987,8/30/2024,1.6
10/4/2023,1.65,8/29/2024,1.868,8/29/2024,1.52
10/2/2023,1.55,8/28/2024,1.9,8/28/2024,1.53
9/28/2023,1,8/27/2024,1.91,8/27/2024,1.62
9/22/2023,1.1,8/26/2024,1.92,8/26/2024,1.79
9/20/2023,1.25,8/23/2024,1.88,8/23/2024,1.51
9/13/2023,1.85,8/22/2024,1.93,8/22/2024,1.51
9/6/2023,0.2,8/21/2024,2.14,8/21/2024,1.6
8/28/2023,1.41,8/20/2024,2.18,8/20/2024,1.71
8/23/2023,1.35,8/19/2024,2.167,8/19/2024,1.77
8/21/2023,1.4,8/16/2024,2.066,8/16/2024,1.73
8/11/2023,1.55,8/15/2024,2.123,8/15/2024,1.83
8/10/2023,1.43,8/14/2024,2.18,8/14/2024,1.83
8/9/2023,1.55,8/13/2024,2.16,8/13/2024,1.76
8/3/2023,1.65,8/12/2024,2.09,8/12/2024,1.78
7/27/2023,3.78,8/9/2024,1.94,8/9/2024,1.73
7/26/2023,6.3,8/8/2024,1.85,8/8/2024,1.67
7/25/2023,4.8,8/7/2024,1.972,8/7/2024,1.76
7/17/2023,2.06,8/6/2024,1.85,8/6/2024,1.73
7/14/2023,1.8,8/5/2024,1.82,8/5/2024,1.74
7/13/2023,1.82,8/2/2024,1.89,8/2/2024,1.69
7/11/2023,2.25,8/1/2024,1.96,8/1/2024,1.84
7/10/2023,2,7/31/2024,1.934,7/31/2024,1.76
6/21/2023,1.55,7/30/2024,1.858,7/30/2024,1.83
6/15/2023,1.68,7/29/2024,1.872,7/29/2024,1.72
6/7/2023,1.64,7/26/2024,1.84,7/26/2024,1.62
6/6/2023,1.8,7/25/2024,1.99,7/25/2024,1.58
6/1/2023,2.1,7/24/2024,2.01,7/24/2024,1.89
5/1/2023,2.43,7/23/2024,2.13,7/23/2024,1.81
4/27/2023,1.81,7/22/2024,2.18,7/22/2024,1.8
4/26/2023,2.3,7/19/2024,1.793,7/19/2024,1.758
4/25/2023,2.35,7/18/2024,2,7/18/2024,1.63
4/21/2023,1.9,7/17/2024,2,7/17/2024,1.65
4/20/2023,1.83,7/16/2024,2.1,7/16/2024,1.76
4/19/2023,2,7/15/2024,2.12,7/15/2024,1.94
4/18/2023,2.21,7/12/2024,2.17,7/12/2024,1.76
4/17/2023,2.17,7/11/2024,2.23,7/11/2024,1.67
4/14/2023,1.57,7/10/2024,2.4,7/10/2024,1.82
4/13/2023,1.53,7/9/2024,2.42,7/9/2024,1.91
4/12/2023,1.75,7/8/2024,2.099,7/8/2024,1.78
